Title,Date,Size,Location,Description,Price
Apartment for sale in Casablanca Finance...,Published 2 day ago,"2 bedrooms, 106 m²","Casablanca Finance City in
   					Casablanca","look over this apartment for sale. price 2,200,000 dh. 2 rooms, 2 bathrooms, 98 m². 2 rooms. 4th storey. less than 5 years. covering: marble. residence perfectly equipped with lift and carpark you will
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,700,000 DH
					</span>"
Sale of a lovely apartment in Hay Almassi...,Published 2 day ago,"3 bedrooms, 81 m²","Hay Almassira 2 in
   					Casablanca","lovely apartment for sale. price 680,000 dh. 3 bedrooms, 1 bathroom, 81 m². 6 rooms. good condition.

this apartment is offered for sale in hay almassira 2, casablanca.","<span class=""priceTag hardShadow float-right floatL"">680,000 DH
					</span>"
Beautiful apartment for sale in Al Qods...,Published 2 day ago,"2 bedrooms, 107 m²","Al Qods in
   					Casablanca","ideal apartment for sale. price 800,000 dh. 2 living areas, 2 bathrooms, 107 m². 2 bedrooms. 1st storey. less than 10 years. covering: tiled. new furniture.

this apartment is offered for sale in al qods.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">800,000 DH
					</span>"
Beautiful apartment for sale in Palmier...,Published 2 day ago,"1 bedroom, 100 m²","Palmier in
   					Casablanca","get a great deal by buying this apartment. price 1,450,000 dh. 2 living areas, 1 bathroom, area 100 m². 1 room. 1st ground floor. less than 1 year. covering: marble. with lift, balcony.

this apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,450,000 DH
					</span>"
Sale of a lovely apartment in Mers Sultan...,Published 2 day ago,"3 bedrooms, 154 m²","Mers Sultan in
   					Casablanca","get a great deal by buying this apartment. price 2,250,000 dh. 3 rooms, 2 bathrooms, area 154 m². 9 rooms. 4th level. less than 20 years. floor type: marble. lift.

this apartment is for sale in mers
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,850,000 DH
					</span>"
Find an apartment to buy in Maârif Extens...,Published 2 day ago,"3 bedrooms, 113 m²","Maârif Extension in
   					Casablanca","ideal apartment for sale. price 1,864,500 dh. 3 rooms, 2 bathrooms, 113 m². 4 rooms. 3rd on the top floor. less than 1 year. floor type: marble. residence equipped with a lift. you will also enjoy a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,864,500 DH
					</span>"
Magnificent villa for sale in Ain Diab Ex...,Published 2 day ago,"4 bedrooms, 442 m²","Ain Diab Extension in
   					Casablanca","ideally located at the gates of ain diab, only two kilometers from the morocco mall, anfa heaven has been designed to offer a peaceful and gentle living environment that breaks with the hustle and bustle
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,490,000 DH
					</span>"
Apartment for sale in Oulfa. 2 beautiful...,Published 2 day ago,"2 bedrooms, 59 m²","Oulfa in
   					Casablanca","unique opportunity in this apartment for sale. price 280,000 dh. 2 rooms, 1 bathroom, 59 m². 1 rooms. 4th ground floor. less than 10 years. floor type: tiled.

come and check out this apartment for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">280,000 DH
					</span>"
Apartment to purchase in Gauthier. 4 comf...,Published 2 day ago,"3 bedrooms, 200 m²","Gauthier in
   					Casablanca","look over this apartment for sale. price 3,600,000 dh. 3 bedrooms, 2 bathrooms, 200 m². 4 rooms. good condition. with lift, car parking spaces, balcony.

this apartment is offered for sale in gauthier.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,600,000 DH
					</span>"
Apartment for sale in Hay Almassira 2. La...,Published 2 day ago,"2 bedrooms, 73 m²","Hay Almassira 2 in
   					Casablanca","don't miss out on this apartment for sale. price 520,000 dh. 2 rooms, 1 bathroom, area 73 m². 1 living areas. 3rd ground floor. less than 20 years. covering: tiled. fully equipped kitchen.

this apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">520,000 DH
					</span>"
Luxury home for sale in Laymoune. Area 70...,Published 2 day ago,"5 bedrooms, 700 m²","Laymoune in
   					Casablanca","luxury villa for sale. price 7,500,000 dh. 6 living areas, 3 bathrooms, area 700 m². 5 bedrooms. good condition. many amenities including fireplace and swimming pool.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,500,000 DH
					</span>"
Apartment for sale in Oulfa. Large area 6...,Published 2 day ago,"1 bedroom, 79 m²","Oulfa in
   					Casablanca","get a great deal by buying this apartment. price 1,140,000 dh. 2 living areas, 1 bathroom, area 79 m². 1 room. 4th storey. new. has a terrace. residence with lift.

come and check out this apartment for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,106,000 DH
					</span>"
Beautiful apartment for sale in Aïn Sebaâ...,Published 2 day ago,"1 bedroom, 62 m²","Aïn Sebaâ in
   					Casablanca","lovely apartment for sale. price 680,000 dh. 2 living areas, 1 bathroom, area 62 m². 1 bedroom. 1st ground floor. less than 1 year. floor type: marble. caretaker service available, general air conditioning
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">680,000 DH
					</span>"
Apartment to purchase in Les princesses...,Published 2 day ago,"2 bedrooms, 99 m²","Les princesses in
   					Casablanca","lovely apartment for sale. price 1,450,000 dh. 7 living areas, 2 private bathrooms, 99 m². 2 rooms. 3rd property storey. less than 10 years. floor type: wooden. maximum security with surveillance system
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,450,000 DH
					</span>"
Magnificent villa for sale in Californie...,Published 2 day ago,"6 bedrooms, 15000 m²","Californie in
   					Casablanca","exceptional villa for sale. price 15,000,000 dh. 6 rooms, 4 bathrooms, area 15000 m². 8 rooms. less than 30 years. due for reform. covering: marble. usable fireplace, residence with swimming pool,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,000,000 DH
					</span>"
Sell apartment in Al Azhar. Area of 83 m²...,Published 2 day ago,"2 bedrooms, 83 m²","Bernoussi in
   					Casablanca","don't miss out on this apartment for sale. price 795,000 dh. 3 living areas with 2 rooms, 1 bathroom, 83 m². many amenities including air conditioning and swimming pool.

come and check out this apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">795,000 DH
					</span>"
Fabulous apartment for sale in Al Azhar...,Published 2 day ago,"3 bedrooms, 80 m²","Bernoussi in
   					Casablanca","amazing deal on this apartment for sale. price 930,000 dh. 4 living areas, 3 rooms, 2 bathrooms, area 80 m². property with swimming pool, integrated air conditioning.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">930,000 DH
					</span>"
Sale of a lovely apartment in Maârif Exte...,Published 2 day ago,"3 bedrooms, 102 m²","Maârif Extension in
   					Casablanca","amazing deal on this apartment for sale. price 1,572,000 dh. 3 living areas, 2 bathrooms, area 102 m². 3 rooms. 2nd on the top floor. less than 1 year. secured door, general satellite dish, secured
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,572,000 DH
					</span>"
Sell apartment in Maârif Extension. 2 roo...,Published 2 day ago,"2 bedrooms, 80 m²","Maârif Extension in
   					Casablanca","lovely apartment for sale. price 1,264,000 dh. 2 living areas, 2 bathrooms, area 80 m². 2 bedrooms. less than 1 year. robust door, traditional moroccan living room, general satellite dish system, residence
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,264,000 DH
					</span>"
Splendid villa for sale in Ain Diab Exten...,Published 2 day ago,"4 bedrooms, 260 m²","Ain Diab Extension in
   					Casablanca","ideally located at the gates of ain diab, only two kilometers from the morocco mall, anfa heaven has been designed to offer a peaceful and gentle living environment that breaks with the hustle and bustle
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,920,000 DH
					</span>"
High quality villa for sale in Longchamps...,Published 2 day ago,"5 bedrooms, 920 m²","Longchamps (Hay Al Hanâa) in
   					Casablanca","superb benefits with this villa for sale. price 15,750,000 dh. 6 living areas, 4 bathrooms, area 920 m². 5 bedrooms. good condition. the exterior consists of a garden and a terrace. a garage is also at
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,750,000 DH
					</span>"
Luxury home for sale in Longchamps (Hay A...,Published 2 day ago,"4 bedrooms, 784 m²","Longchamps (Hay Al Hanâa) in
   					Casablanca","superb benefits with this villa for sale. price 13,800,000 dh. 5 living areas, 4 private bathrooms, 784 m². 4 bedrooms. good condition. gardeners, large terrace.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,800,000 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published 1 day ago,"2 bedrooms, 50 m²","Bernoussi in
	 					Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Beautiful apartment for sale. Area of 80...,Published 1 day ago,"3 bedrooms, 82 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","unique opportunity in this apartment for sale. 4 living areas including 3 rooms, 2 bathrooms, 80 m². new. private garden, no lift, large terrace.

this apartment is offered for sale . large swimming
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">340,000 DH
					</span>"
Fabulous apartment for sale in Ahl Loghla...,Published 1 day ago,"2 bedrooms, 63 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Beautiful apartment for sale. Area of 80...,Published 1 day ago,"3 bedrooms, 83 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","unique opportunity in this apartment for sale. 4 living areas including 3 rooms, 2 bathrooms, 80 m². new. private garden, no lift, large terrace.

this apartment is offered for sale . large swimming
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">360,000 DH
					</span>"
Fabulous apartment for sale in Les Hôpita...,Published 1 day ago,"1 bedroom, 83 m²","Les Hôpitaux in
	 					Casablanca","studio 31: the new studios where you must invest in casablanca!

whether you’re a young worker, an investor or simply looking for your new home in casablanca, the project studio 31 offers you studios that
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,552,500 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published 1 day ago,"2 bedrooms, 50 m²","Bernoussi in
	 					Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Sell apartment in Gauthier. 4 lovely room...,Published 1 day ago,"4 bedrooms, 202 m²","Gauthier in
	 					Casablanca","buy your apartment. price 3,800,000 dh. 4 bedrooms, 2 bathrooms, 202 m². cellar, large terrace.

come and check out this apartment for sale in gauthier. usable fireplace, general air conditioning. double
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">3,800,000 DH
					</span>"
Luxury home for sale in Ain Diab. 4 beaut...,Published 1 day ago,"4 bedrooms, 365 m²","Ain Diab in
	 					Casablanca","luxury amenities with this villa for sale. price 7,300,000 dh. 4 bedrooms, 3 bathrooms, 365 m². living room with fireplace, residence with swimming pool, integrated air conditioners.

this beautiful villa
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">7,300,000 DH
					</span>"
